team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TRAFFIC CONES;mechy ducky;4;1;25.00;1474;368.5;3;0.75;1;0.25;7;1.75;9;2.25;34;8.5;8;2;5;1.25;33.33;437.47;52.99;9779;2444.75;7188;1797;2591;647.75;92;23;218;54.5;2052;513;1392;348;660;165;19;4.75;59;14.75;208.26;52.06;115.75;28.94;1952;488;2066;516.5;525;131.25;1566.19;2008096;502024;580.56;145.14;575.3;143.82;197.55;49.39;819.55;204.89;479.75;119.94;54.11;13.53;22.85;5.71;0.1;222;55.5;391.2;97.8;537.9;134.48;400.3;100.07;953.1;238.28;946.48;236.62;406.93;101.73;744.88;186.22;369.37;92.34;239.17;59.79;2831.2;2735.86;2892.14;3614.33;4;1;4;1
WASH MY BELLAY;minecrafplayer69;62;36;58.06;21074;339.9;43;0.69;33;0.53;101;1.63;131;2.11;523;8.44;156;2.52;55;0.89;32.82;365.27;49.04;139511;2250.18;102546;1653.97;36965;596.21;1207;19.47;3246;52.35;17037;274.79;8642;139.39;8395;135.4;109;1.76;746;12.03;3664.23;59.1;1557.89;25.13;20872;336.65;17952;289.55;2333;37.63;1525.97;33846848;545916.88;10579.04;170.63;10035.84;161.87;2945.82;47.51;14271;230.18;8216.01;132.52;1073.65;17.32;262.13;4.23;0.08;3275;52.82;9656;155.74;6233.3;100.54;5605.99;90.42;17954.68;289.59;16487.87;265.93;7072.75;114.08;12954.79;208.95;6529.17;105.31;4076.66;65.75;3140.99;3192.25;3087.94;3710.99;39;0.63;67;1.08
DOGE;naseiinK;13;5;38.46;3880;298.46;14;1.08;6;0.46;10;0.77;29;2.23;126;9.69;41;3.15;16;1.23;48.28;361.74;50.28;29855;2296.54;22329;1717.62;7526;578.92;272;20.92;661;50.85;4474;344.15;2632;202.46;1842;141.69;36;2.77;152;11.69;495.35;38.1;605.79;46.6;3706;285.08;4948;380.62;933;71.77;1542.03;7176293;552022.56;2293;176.38;1789.66;137.67;940.09;72.31;2915.1;224.24;1938.05;149.08;169.62;13.05;89.8;6.91;0.13;701;53.92;1853.1;142.55;1535.1;118.08;1285.66;98.9;3737.08;287.47;3542.73;272.52;1480.03;113.85;2742.39;210.95;1487.66;114.44;792.72;60.98;3206.1;3267.63;3168.1;3505.39;17;1.31;8;0.62
THE GOONIES;pe9kyyQAQ &;29;11;37.93;19592;675.59;58;2;10;0.34;67;2.31;174;6;227;7.83;80;2.76;30;1.03;33.33;436.17;47.62;76869;2650.66;52242;1801.45;24627;849.21;629;21.69;2161;74.52;16754;577.72;9400;324.14;7354;253.59;108;3.72;656;22.62;1000.54;34.5;627.48;21.64;7428;256.14;10812;372.83;1441;49.69;1551.68;15785415;544324.62;4853.77;167.37;4125.84;142.27;1879.79;64.82;5268.35;181.67;4918.49;169.6;672.56;23.19;265.25;9.15;0.12;2232;76.97;3695.6;127.43;4409.3;152.04;2636.07;90.9;8223.3;283.56;7053.89;243.24;3805.54;131.23;5337.07;184.04;3233.75;111.51;2288.59;78.92;2218.53;1970.51;2435.29;3482.44;43;1.48;56;1.93
TRAFFIC CONES;psydunk;42;15;35.71;15770;375.48;37;0.88;25;0.6;63;1.5;104;2.48;332;7.9;112;2.67;43;1.02;35.58;388.69;42.97;96470;2296.9;69973;1666.02;26497;630.88;791;18.83;2228;53.05;13952;332.19;7891;187.88;6061;144.31;87;2.07;499;11.88;3083.96;73.43;1130.44;26.92;10377;247.07;8878;211.38;819;19.5;1482.23;21161744;503851.06;7351.3;175.03;6147.47;146.37;1733.98;41.29;8783.81;209.14;5665.93;134.9;782.97;18.64;238.17;5.67;0.12;2038;48.52;5694.1;135.57;4311.3;102.65;3604.88;85.83;11627.83;276.85;10832.09;257.91;4400.72;104.78;8326.05;198.24;4463.21;106.27;2443.44;58.18;3151.91;3108.9;3193.63;3575.64;24;0.57;30;0.71
THE GOONIES;secret gral;18;6;33.33;2891;160.61;3;0.17;9;0.5;14;0.78;10;0.56;154;8.56;47;2.61;25;1.39;30;255.01;54.73;31071;1726.17;19382;1076.78;11689;649.39;244;13.56;1032;57.33;1947;108.17;664;36.89;1283;71.28;9;0.5;112;6.22;689.84;38.32;658.89;36.6;2682;149;5302;294.56;239;13.28;1263.86;8250070;458337.22;4590.48;255.03;2054.91;114.16;303.76;16.88;5202.38;289.02;1625.34;90.3;121.39;6.74;80.63;4.48;0.3;269;14.94;3648.5;202.69;1573.9;87.44;1344.68;74.7;5604.41;311.36;5731.96;318.44;1217.17;67.62;4549.62;252.76;1894.35;105.24;505.13;28.06;3545.87;3651.9;3442.26;3782.6;4;0.22;26;1.44
WASH MY BELLAY;snpr;62;36;58.06;23391;377.27;48;0.77;40;0.65;85;1.37;158;2.55;523;8.44;156;2.52;48;0.77;30.38;353.43;49.55;138978;2241.58;85698;1382.23;53280;859.35;1034;16.68;4694;75.71;35481;572.27;18967;305.92;16514;266.35;232;3.74;1438;23.19;2373.43;38.28;2727.56;43.99;22455;362.18;18975;306.05;4615;74.44;1532.98;34022376;548748;11146.28;179.78;9411.31;151.8;3024.63;48.78;15104.08;243.61;7248.56;116.91;1229.64;19.83;299.89;4.84;0.11;2805;45.24;6684;107.81;8170.9;131.79;6908.17;111.42;16674.11;268.94;14888.06;240.13;8694.09;140.23;10845.66;174.93;7743.88;124.9;4992.69;80.53;2831.47;2703.45;2959.1;3643.5;73;1.18;61;0.98
WASH MY BELLAY;te;62;36;58.06;24786;399.77;58;0.94;35;0.56;87;1.4;196;3.16;523;8.44;156;2.52;53;0.85;29.59;395.26;51.3;154462;2491.32;119830;1932.74;34632;558.58;1468;23.68;3017;48.66;27373;441.5;17794;287;9579;154.5;210;3.39;837;13.5;2698.99;43.53;2594.32;41.84;15026;242.35;27041;436.15;3179;51.27;1510.57;33494030;540226.31;10728.01;173.03;10158.09;163.84;2682.2;43.26;12626.87;203.66;9752.63;157.3;1188.82;19.17;494.67;7.98;0.11;4383;70.69;6625.5;106.86;8060.1;130;6717.94;108.35;16850.38;271.78;15414.21;248.62;8154.1;131.52;11407.92;184;7368.03;118.84;4792.35;77.3;2792.14;2685.58;2889.73;3621.76;44;0.71;67;1.08
T3;v Heavy AF v;35;16;45.71;7170;204.86;17;0.49;13;0.37;27;0.77;51;1.46;261;7.46;78;2.23;28;0.8;33.33;260.24;53.96;60583;1730.94;43220;1234.86;17363;496.09;532;15.2;1486;42.46;10940;312.57;6920;197.71;4020;114.86;87;2.49;356;10.17;1288.07;36.8;2681.17;76.6;7385;211;9838;281.09;1852;52.91;1350.95;17058416;487383.31;8203.67;234.39;4245.49;121.3;934.12;26.69;9201.36;262.9;3866.38;110.47;315.57;9.02;204.4;5.84;0.1;1986;56.74;4813.9;137.54;3927.3;112.21;3633.51;103.81;9749.83;278.57;9027.37;257.92;4355.78;124.45;6830.19;195.15;4120.01;117.71;2433.12;69.52;3273.01;3380.39;3173.41;3679.44;13;0.37;39;1.11
THE GOONIES;vpr.vnm;45;27;60.00;19308;429.07;44;0.98;40;0.89;71;1.58;135;3;342;7.6;94;2.09;46;1.02;32.59;408.05;49.66;110240;2449.78;84855;1885.67;25385;564.11;1025;22.78;2205;49;19580;435.11;11875;263.89;7705;171.22;146;3.24;671;14.91;2044.68;45.44;2006.03;44.58;12704;282.31;17906;397.91;2793;62.07;1573.59;24491742;544260.94;7178.26;159.52;6972.12;154.94;2441.44;54.25;9355.68;207.9;6211.05;138.02;1025.07;22.78;253.32;5.63;0.12;2047;45.49;4754.1;105.65;5360.1;119.11;4412.61;98.06;12179.19;270.65;10691.78;237.6;5900.06;131.11;7956.85;176.82;5168.13;114.85;3466.8;77.04;2731.4;2594.49;2883.84;3784.21;40;0.89;40;0.89
