replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
e343b82a-51f5-4ff1-8148-147881a6c7fb;61941_Game5.replay;Mannfield (Night);2024-07-23 02:50:54;win;CANCUN;[T5];King Rocco;4770;Dominus;50;0;0;0;0;2;0;0;0;238;63.72;1269;778;491;10;48;155;58;97;1;10;5.61;53.08;136;277;50;1372;425186;182.27;56.46;126.32;39.13;14.24;4.41;225.09;69.72;86.24;26.71;11.51;3.57;5.78;0.12;50;134.9;41.76;78.8;24.4;82.17;25.45;240.66;74.55;82.17;25.45;226.27;70.09;96.56;29.91;170.05;52.67;103.22;31.97;49.56;15.35;3410;3614;3176;3593;1;1
e343b82a-51f5-4ff1-8148-147881a6c7fb;61941_Game5.replay;Mannfield (Night);2024-07-23 02:50:54;loss;[T5];CANCUN;ElatedThug;4284;Fennec;120;0;0;1;0;8;2;1;0;327;53.62;1791;1287;504;14;47;271;142;129;2;12;31.34;35.04;88;133;64;1405;428763;169.73;53.44;127.84;40.25;20.05;6.31;199.26;62.73;104.19;32.8;14.18;4.46;4.44;0.1;46;131.7;40.77;69.1;21.39;86.63;27.27;231;72.73;86.63;27.27;208.98;65.8;108.64;34.2;159.98;50.37;93.59;29.47;64.06;20.17;3072;3144;3028;3721;1;2
e343b82a-51f5-4ff1-8148-147881a6c7fb;61941_Game5.replay;Mannfield (Night);2024-07-23 02:50:54;loss;[T5];CANCUN;Fernado;23;Octane;249;0;0;1;1;8;2;0;0;373;47.39;2010;1221;789;14;68;445;215;230;3;22;46.83;27.8;250;221;96;1608;502641;124.83;38.56;134.47;41.54;64.39;19.89;177.91;54.96;124.82;38.56;20.96;6.48;5.01;0.09;53;97.3;30.12;125;38.7;110.47;34.13;213.23;65.87;110.47;34.13;196.52;60.71;127.18;39.29;143.27;44.26;107.73;33.28;72.7;22.46;2869;2756;2975;3693;0;0
e343b82a-51f5-4ff1-8148-147881a6c7fb;61941_Game5.replay;Mannfield (Night);2024-07-23 02:50:54;loss;[T5];CANCUN;LeagueSon;4284;Fennec;270;0;0;2;1;8;2;1;0;399;58.37;2265;1688;577;22;53;845;638;207;8;19;14.23;34.46;194;534;170;1534;478237;137.8;42.56;155.61;48.06;30.35;9.37;172.2;53.19;123.69;38.2;27.88;8.61;8.91;0.1;86;85;26.32;119.5;37;119.92;37.04;203.84;62.96;119.92;37.04;183.14;56.57;140.62;43.43;137.63;42.51;95.08;29.37;91.05;28.12;2751;2459;2979;3751;0;0
76140cab-6526-45c3-81d6-017ac08add90;98433_Game1.replay;Mannfield (Night);2024-07-23 03:59:09;win;CANCUN;PUZZLE PIECE PAL;King Rocco;4770;Dominus;54;0;0;0;0;5;1;0;0;267;49.81;1570;982;588;13;52;164;100;64;1;6;33.66;43;204;336;0;1449;460707;176.83;53.06;131.95;39.59;24.48;7.35;234.82;70.46;88.76;26.63;9.68;2.9;5.89;0.11;53;124.8;37.48;116.1;34.86;100.51;30.16;232.75;69.84;100.51;30.16;224.95;67.5;108.31;32.5;174.38;52.32;99.74;29.93;59.15;17.75;3299;3463;3106;3672;3;0
76140cab-6526-45c3-81d6-017ac08add90;98433_Game1.replay;Mannfield (Night);2024-07-23 03:59:09;win;CANCUN;PUZZLE PIECE PAL;Sales;23;Octane;260;1;0;0;3;5;1;1;33.33;421;45.35;2239;1466;773;16;55;662;297;365;3;19;60.39;29.72;455;146;2;1457;463059;157.45;47.25;136.24;40.89;39.51;11.86;197.79;59.36;125.23;37.58;10.18;3.06;7.05;0.12;58;87.7;26.34;128.1;38.47;83.86;25.17;249.34;74.83;83.86;25.17;199.18;59.78;134.02;40.22;161.15;48.37;92.64;27.8;79.4;23.83;2610;2364;2872;3494;0;0
76140cab-6526-45c3-81d6-017ac08add90;98433_Game1.replay;Mannfield (Night);2024-07-23 03:59:09;win;CANCUN;PUZZLE PIECE PAL;GreenSleeves;23;Octane;476;1;0;3;3;5;1;0;33.33;428;49.61;2195;1360;835;17;75;452;232;220;3;19;33.42;19.49;127;188;0;1426;434868;170.21;53.26;112.27;35.13;37.13;11.62;190.05;59.46;114.13;35.71;15.44;4.83;7.32;0.09;86;121.5;36.49;75.3;22.61;64.19;20.08;255.42;79.92;64.19;20.08;223.96;70.07;95.66;29.93;172.88;54.09;89.41;27.97;57.32;17.93;2683;2332;3060;3442;2;5
76140cab-6526-45c3-81d6-017ac08add90;98433_Game1.replay;Mannfield (Night);2024-07-23 03:59:09;loss;PUZZLE PIECE PAL;CANCUN;RenshiroKamazaki;23;Octane;118;0;1;0;0;6;2;1;0;326;48.87;1707;1076;631;13;57;373;200;173;2;16;44.83;23.54;319;252;5;1478;458530;150.57;46.03;144.33;44.12;32.23;9.85;211.48;64.65;110.34;33.73;5.31;1.62;6.07;0.14;44;109.2;32.79;115.1;34.56;127.17;38.88;199.95;61.12;127.17;38.88;207.34;63.38;119.78;36.62;157.49;48.14;92.05;28.14;77.58;23.72;3112;3070;3142;3625;1;2
76140cab-6526-45c3-81d6-017ac08add90;98433_Game1.replay;Mannfield (Night);2024-07-23 03:59:09;loss;PUZZLE PIECE PAL;CANCUN;Toucan;23;Octane;345;1;0;1;2;6;2;0;50;404;46.85;2196;1731;465;19;41;526;350;176;4;16;70.75;22.69;230;174;49;1569;497128;139.17;41.76;148.92;44.69;45.17;13.55;177.77;53.34;137.04;41.12;18.46;5.54;6.9;0.09;74;115.3;34.62;113.6;34.11;98.06;29.42;235.2;70.58;98.06;29.42;197.87;59.37;135.4;40.63;141.74;42.53;115.25;34.58;76.27;22.89;2831;2723;2922;3632;3;0
76140cab-6526-45c3-81d6-017ac08add90;98433_Game1.replay;Mannfield (Night);2024-07-23 03:59:09;loss;PUZZLE PIECE PAL;CANCUN;vpr.vnm;23;Octane;250;0;0;2;3;6;2;1;0;371;45.1;2026;1471;555;18;48;318;186;132;2;11;36.46;29.6;187;329;13;1507;463993;150.17;46.35;135.66;41.87;38.15;11.78;178.47;55.09;123.72;38.19;21.79;6.73;5.01;0.14;36;107;32.13;90.4;27.15;84.22;26;239.76;74;84.22;26;216.33;66.77;107.65;33.23;151.41;46.73;115.1;35.53;57.47;17.74;2783;2372;3162;3554;1;3
c72ec294-3e9e-47e7-b9bf-87266703cd1c;98433_Game2.replay;Mannfield (Night);2024-07-23 04:05:17;win;CANCUN;PUZZLE PIECE PAL;Sales;23;Octane;419;0;1;3;3;5;0;0;0;420;45.75;2253;1637;616;20;54;614;484;130;6;11;57.39;20.5;549;362;115;1533;484706;135.19;41.66;144.92;44.66;44.4;13.68;199.25;61.4;114.26;35.21;11;3.39;4.24;0.12;36;77.4;23.89;136;41.98;93.45;28.8;231.06;71.2;93.45;28.8;189.87;58.51;134.65;41.49;139.46;42.97;96.25;29.66;88.81;27.37;2787;2630;3016;3517;2;0
c72ec294-3e9e-47e7-b9bf-87266703cd1c;98433_Game2.replay;Mannfield (Night);2024-07-23 04:05:17;win;CANCUN;PUZZLE PIECE PAL;GreenSleeves;23;Octane;457;1;0;2;5;5;0;0;20;404;51.47;2124;1221;903;14;68;534;200;334;2;22;40.78;23.1;194;79;0;1496;458749;154.58;48.81;125.54;39.64;36.57;11.55;186.14;58.78;125.95;39.77;4.6;1.45;9.36;0.09;104;127.7;39.41;92.6;28.58;63.76;20.13;252.93;79.87;63.76;20.13;201.54;63.64;115.15;36.36;153.79;48.56;93.14;29.41;69.76;22.03;2803;2615;3104;3425;4;2
c72ec294-3e9e-47e7-b9bf-87266703cd1c;98433_Game2.replay;Mannfield (Night);2024-07-23 04:05:17;win;CANCUN;PUZZLE PIECE PAL;King Rocco;4770;Dominus;74;0;0;0;1;5;0;0;0;264;54.18;1455;902;553;11;50;268;100;168;1;15;20.04;58.11;356;229;0;1469;458645;165;51.31;123.88;38.53;32.67;10.16;206.89;64.34;104.3;32.44;10.36;3.22;7.11;0.11;62;118.7;36.64;92.3;28.49;84.1;26.15;237.45;73.85;84.1;26.15;209.55;65.17;111.99;34.83;148.74;46.26;115.88;36.04;56.93;17.7;2978;2990;2963;3374;2;1
c72ec294-3e9e-47e7-b9bf-87266703cd1c;98433_Game2.replay;Mannfield (Night);2024-07-23 04:05:17;loss;PUZZLE PIECE PAL;CANCUN;RenshiroKamazaki;23;Octane;124;0;0;1;1;9;1;1;0;373;53.83;1729;1042;687;14;61;335;116;219;2;19;18.32;26.55;346;278;86;1493;450088;130.67;42.25;157.84;51.04;20.76;6.71;220.8;71.39;86.94;28.11;1.53;0.49;9.08;0.16;58;146.7;45.28;100.7;31.08;96.12;31.08;213.15;68.92;96.12;31.08;209;67.58;100.27;32.42;158.67;51.3;93;30.07;57.6;18.62;3390;3311;3442;3925;0;5
