replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
2324e5cc-4824-4ed7-ba0d-01372becea26;86909_Game3.replay;Mannfield (Night);2025-10-01 18:34:13;win;THE GOONIES;DOGE;Gilan;4284;Fennec;431;1;1;2;4;9;0;0;25;303;45.69;1577;1021;556;12;50;163;49;114;1;10;82.76;23.03;131;194;50;1531;477861;139.8;43.23;149.58;46.26;33.98;10.51;179.31;55.45;135.36;41.86;8.68;2.68;5.04;0.08;67;132.7;40.71;75.1;23.04;59.29;18.34;264.06;81.66;59.29;18.34;215.73;66.72;107.63;33.28;164.57;50.89;92.29;28.54;66.5;20.57;3203;3307;3140;4212;0;1
2324e5cc-4824-4ed7-ba0d-01372becea26;86909_Game3.replay;Mannfield (Night);2025-10-01 18:34:13;win;THE GOONIES;DOGE;Argon;23;Octane;176;0;0;0;4;9;0;0;0;532;53.85;2942;2297;645;29;62;690;434;256;5;23;38.98;32.06;558;649;73;1752;550962;87.39;26.79;153.77;47.13;85.08;26.08;174.09;53.36;123.35;37.81;28.8;8.83;6.91;0.09;77;89.6;27.48;129.4;39.69;111.24;34.1;215;65.9;111.24;34.1;179.45;55.01;146.79;44.99;117.28;35.95;120.64;36.98;88.32;27.07;3185;2982;3387;4362;2;0
2324e5cc-4824-4ed7-ba0d-01372becea26;86909_Game3.replay;Mannfield (Night);2025-10-01 18:34:13;win;THE GOONIES;DOGE;Toucan;23;Octane;539;1;1;4;3;9;0;0;33.33;376;52.52;2063;1701;362;19;35;373;300;73;3;7;45.45;37.59;303;103;0;1546;486530;136.35;41.81;143.62;44.04;46.16;14.15;177.17;54.32;137.33;42.11;11.64;3.57;5.52;0.1;57;100.9;30.95;115.8;35.52;97.02;29.75;229.11;70.25;97.02;29.75;199.33;61.12;126.81;38.88;143.57;44.02;95.99;29.43;86.57;26.54;3085;3084;3126;4127;1;0
718f6198-2b8b-4046-a318-1326b7cf431e;91480_Game2.replay;Forbidden Temple (Day);2025-10-01 18:39:28;win;THE GOONIES;;OnlyClankers;4284;Fennec;589;3;0;2;7;7;3;0;42.86;329;59.97;2113;1281;832;19;72;510;276;234;4;21;13.88;66.13;223;412;19;1501;507839;173.79;47.72;153.99;42.28;36.44;10;237.93;65.33;109.67;30.11;16.61;4.56;4.04;0.12;35;110.7;30.41;121.5;33.38;100.42;27.57;263.8;72.43;100.42;27.57;227.95;62.59;136.24;37.41;153.52;42.15;130.21;35.75;80.49;22.1;3074;3131;2982;4011;3;0
718f6198-2b8b-4046-a318-1326b7cf431e;91480_Game2.replay;Forbidden Temple (Day);2025-10-01 18:39:28;win;THE GOONIES;;LukeThighWalkr4;4284;Fennec;258;1;0;1;2;7;3;1;50;376;54.42;2511;2085;426;29;39;542;324;218;5;20;52.23;61.54;364;737;87;1628;548482;139.5;38.3;172.17;47.27;52.58;14.44;214.06;58.77;138.41;38;11.78;3.23;7.29;0.13;57;136.8;37.58;112.8;30.99;97.36;26.73;266.9;73.27;97.36;26.73;231;63.42;133.25;36.58;173.14;47.53;111.3;30.56;79.81;21.91;3280;3027;3590;4115;0;0
718f6198-2b8b-4046-a318-1326b7cf431e;91480_Game2.replay;Forbidden Temple (Day);2025-10-01 18:39:28;win;THE GOONIES;;vpr.vnm;23;Octane;230;0;2;0;1;7;3;2;0;404;47.02;2284;1764;520;21;48;524;378;146;4;14;47.72;40.9;240;270;41;1566;518703;164.23;45.83;154.44;43.1;39.68;11.07;230.64;64.36;102.96;28.73;24.75;6.91;7.14;0.14;52;94.6;25.99;101.8;27.97;96.34;26.88;262.01;73.12;96.34;26.88;205.45;57.33;152.9;42.67;140.73;39.27;143.03;39.91;74.58;20.81;2827;2499;3284;3763;2;2
718f6198-2b8b-4046-a318-1326b7cf431e;91480_Game2.replay;Forbidden Temple (Day);2025-10-01 18:39:28;loss;THE GOONIES;;1pxx;4284;Fennec;678;3;0;2;4;10;4;2;75;402;41.87;2112;1309;803;15;71;218;100;118;1;10;23.43;16.94;217;200;0;1519;504806;176.49;49.08;127.06;35.34;56.02;15.58;180.23;50.12;163.19;45.38;16.15;4.49;8.35;0.11;73;99.8;27.42;147.7;40.58;90.32;25.12;269.25;74.88;90.32;25.12;252.47;70.21;107.1;29.79;188.63;52.46;108.41;30.15;62.52;17.39;2428;2192;2578;3445;2;1
718f6198-2b8b-4046-a318-1326b7cf431e;91480_Game2.replay;Forbidden Temple (Day);2025-10-01 18:39:28;loss;THE GOONIES;;Internine0;23;Octane;130;0;0;1;1;10;4;1;0;383;46;1382;1132;250;14;24;249;157;92;3;9;36.03;30.7;239;288;147;1570;359398;95.45;39.59;112.94;46.85;32.68;13.56;137.63;57.09;91.21;37.84;12.22;5.07;3.94;0.08;50;61.4;16.87;85.4;23.46;69.24;28.72;171.83;71.28;69.24;28.72;146.13;60.62;94.94;39.38;105.43;43.73;82.86;34.37;52.78;21.89;3106;2931;3242;3739;0;1
718f6198-2b8b-4046-a318-1326b7cf431e;91480_Game2.replay;Forbidden Temple (Day);2025-10-01 18:39:28;loss;THE GOONIES;;secret gral;4284;Fennec;148;0;0;1;2;10;4;1;0;289;54.88;2006;1458;548;17;50;124;64;60;1;5;34.76;27.18;184;266;35;1313;428436;221.45;62.35;117.3;33.03;16.43;4.63;262.18;73.82;88.22;24.84;4.77;1.34;0.47;0.09;5;187.8;51.59;111.7;30.69;75.92;21.38;279.25;78.62;75.92;21.38;296.26;83.41;58.92;16.59;221.14;62.26;109.89;30.94;24.14;6.8;3573;4006;3295;3911;0;3
d366dfcb-0e14-4fb2-a9a4-a4c7a3cbced2;86909_Game4.replay;Mannfield (Night);2025-10-01 18:41:53;win;DOGE;THE GOONIES;hot;4284;Fennec;1100;5;0;3;7;8;2;2;71.43;410;47.86;2452;1929;523;23;48;276;187;89;2;8;31.84;63.73;258;397;19;1517;502986;177.05;48.38;146.02;39.9;42.85;11.71;196.99;53.83;141.67;38.72;27.26;7.45;5.25;0.1;50;132.1;34.95;118.7;31.4;58.59;16.01;307.33;83.99;58.59;16.01;264.65;72.32;101.27;27.68;216.8;59.25;95.6;26.13;53.53;14.63;2591;2467;2737;3511;1;4
d366dfcb-0e14-4fb2-a9a4-a4c7a3cbced2;86909_Game4.replay;Mannfield (Night);2025-10-01 18:41:53;win;DOGE;THE GOONIES;mech_anderdingus;23;Octane;401;1;0;2;2;8;2;0;50;383;45.75;2522;1890;632;21;56;518;362;156;4;14;32.22;45.23;270;224;37;1565;532069;174.48;46.53;129.58;34.56;70.93;18.92;220.87;58.9;141.71;37.79;12.42;3.31;8.48;0.14;61;113.3;29.97;125.4;33.17;92.61;24.7;282.38;75.3;92.61;24.7;261.51;69.74;113.48;30.26;205.14;54.71;108.16;28.84;61.69;16.45;3206;3267;3145;3520;3;1
d366dfcb-0e14-4fb2-a9a4-a4c7a3cbced2;86909_Game4.replay;Mannfield (Night);2025-10-01 18:41:53;win;DOGE;THE GOONIES;GoW_Caaloz;23;Octane;184;0;2;0;0;8;2;0;0;231;35.11;1344;645;699;7;61;268;92;176;1;16;37.36;15.95;80;54;7;1376;470881;230.49;60.98;128.45;33.98;19.04;5.04;274.6;72.65;97.1;25.69;6.29;1.66;4.31;0.19;23;116.9;30.93;106.7;28.23;84.84;22.45;293.14;77.55;84.84;22.45;273.57;72.37;104.42;27.63;211.95;56.07;115.17;30.47;50.86;13.46;2898;3179;2551;3347;0;0
d366dfcb-0e14-4fb2-a9a4-a4c7a3cbced2;86909_Game4.replay;Mannfield (Night);2025-10-01 18:41:53;loss;THE GOONIES;DOGE;Argon;23;Octane;256;1;0;0;2;9;6;1;50;506;54.19;3247;2376;871;31;74;730;438;292;6;27;31.75;40;530;655;161;1720;581286;126.83;34.09;160.55;43.15;84.71;22.77;197.53;53.09;146.63;39.41;27.93;7.51;6.98;0.09;75;95;25.13;141.5;37.43;143.63;38.6;228.46;61.4;143.63;38.6;218.47;58.71;153.62;41.29;157.47;42.32;115.29;30.98;99.33;26.7;3200;3179;3188;4164;1;2
d366dfcb-0e14-4fb2-a9a4-a4c7a3cbced2;86909_Game4.replay;Mannfield (Night);2025-10-01 18:41:53;loss;THE GOONIES;DOGE;Gilan;4284;Fennec;178;0;0;0;1;9;6;2;0;297;47.41;1817;1229;588;15;52;542;445;97;5;9;52.48;19.53;208;284;49;1498;503857;196.32;53.06;130.34;35.23;43.35;11.72;216.98;58.64;146.36;39.56;6.67;1.8;5.28;0.08;68;138.2;36.56;86.9;22.99;103.47;27.96;266.54;72.04;103.47;27.96;238.8;64.54;131.21;35.46;171.65;46.39;116.32;31.44;82.03;22.17;3118;3041;3190;4049;1;2
d366dfcb-0e14-4fb2-a9a4-a4c7a3cbced2;86909_Game4.replay;Mannfield (Night);2025-10-01 18:41:53;loss;THE GOONIES;DOGE;Toucan;23;Octane;262;1;0;0;5;9;6;3;20;398;56.89;2704;2169;535;27;42;507;236;271;3;17;50.48;38.27;451;383;63;1640;564795;154.6;40.9;157.5;41.67;65.86;17.43;233.99;61.91;129.99;34.39;13.98;3.7;6.34;0.11;57;121.7;32.2;126.4;33.44;118.99;31.48;258.96;68.52;118.99;31.48;228.43;60.44;149.52;39.56;156.35;41.37;132.73;35.12;88.87;23.51;3042;2815;3227;4082;3;0
b7807776-f844-4e99-b391-9021ef061635;86909_Game5.replay;Mannfield (Night);2025-10-01 18:49:17;loss;DOGE;THE GOONIES;hot;4284;Fennec;570;1;1;2;4;7;4;1;25;464;51.08;2806;2237;569;26;45;380;297;83;3;7;43.36;41.93;351;377;2;1518;498908;157.5;44.36;159.74;44.99;37.84;10.66;188.69;53.14;145.2;40.89;21.19;5.97;5.04;0.09;55;119.2;33.02;107.9;29.89;82.81;23.32;272.27;76.68;82.81;23.32;270.74;76.25;84.34;23.75;215.96;60.82;88.45;24.91;50.67;14.27;2601;2304;2810;3552;1;2
